Milliseconds,Signal
1,489
2,502
3,501
4,500
5,501
6,501
7,500
8,500
9,500
10,500
11,500
12,500
13,500
14,499
15,499
16,500
17,500
18,500
19,499
20,500
21,499
22,499
23,499
24,499
25,499
26,499
27,499
28,499
29,499
30,499
31,499
32,499
33,499
34,499
35,499
36,499
37,499
38,499
39,499
40,499
41,499
42,499
43,499
44,499
45,498
46,498
47,498
48,498
49,499
50,499
51,499
52,499
53,499
54,499
55,499
56,499
57,499
58,499
59,499
60,499
61,499
62,499
63,499
64,499
65,499
66,499
67,499
68,499
69,499
70,499
71,499
72,499
73,499
74,499
75,499
76,499
77,499
78,499
79,499
80,499
